user_name,user_mean,number_of_tests,stddev
admin,56.24343756440729,25038,31.007669608654215
alon,66.83411234270939,10000,20.162499371438393
alon_s,47.48692104374401,9711,30.473545668111544
ariel,30.762607186209003,10365,8.24297685092431
ariel_100,52.1256008021203,16856,15.979657697069376
ArielG,45.50676577095616,22949,12.22017566079912
artium,42.283432538117694,6140,22.144524824448624
avi,30.77879773583308,11157,7.6917941351124455
aviad,30.02561339679016,6014,21.389766248902802
aviram,52.17809573893069,6086,29.596502502561304
barak,104.14390952715522,7125,59.75342149982506
carmit,35.458182881665174,6879,25.722653528114186
carmit_hot,60.45695877387927,6523,32.12197159188006
dana,47.56363106555779,14191,13.771076316054906
dan_florentin,59.1167280826985,6156,26.06632660355136
daniel,45.64864727555947,8061,13.082928314325896
David,27.572466772947188,9002,22.689444243671904
dor,60.69703672107063,10572,25.3903446237644
dor_p,32.83804266335556,8421,21.579868793470126
dov,48.19991192082889,6802,16.15026635906373
elkana,27.91166462453104,6309,31.32770701408897
ella,55.396168731088004,6105,29.59835002783361
etl,33.48645299053214,8937,23.518310438375146
etl_home,40.41707566433616,6386,23.444372258802005
evyatar,59.69884499006174,8736,24.32393026508318
eyal,20.493083396115736,9537,17.299802677670197
fadrok,60.77776783840597,10932,20.385144733882836
gali,41.63625050922867,9750,28.001021500102986
gilad,42.19745487134581,12120,7.061439895028364
golan,53.25738268178943,17520,10.493679109036103
hafi,30.632372151315,8537,26.8423580751577
Haza,72.02433240376192,9639,24.4285251873353
hod,50.60871437656234,7756,25.507468620602047
idan,41.308997671465946,10830,5.492710225336903
ilil,51.70413647419702,7487,28.376248121214402
inbaru,35.15842722859807,6180,28.56051475719746
ishay,15.168454348576752,12702,10.982201949898885
itamar,50.85736887323245,6690,27.229050077854627
lior,39.00631582856995,6733,23.630678909907353
may,44.442278559944704,6112,34.219360835335515
meital,33.626443926764175,9119,15.03012729350839
michael,19.954272130459227,6816,12.131971954000306
moshe,27.29991823638929,9070,26.847280255817157
nimrod,31.24975365115333,15495,10.165830890571247
nimrod_h,34.30804672702343,6489,21.27459456614976
noam,39.63979853407647,6,11.155753814844513
noam_b,33.81943459874308,7809,19.456053548096158
omer,32.76000860897321,10751,23.618282441404364
omry,43.53161673056766,5964,33.36883728948597
rachel,35.66832809140927,8945,12.145853888658264
raz,65.42725646596048,10665,25.861847949670793
raz_s,30.16625673098255,8199,19.624855245268353
rina,52.82389445945952,9382,23.626331595063714
robert,58.781034814000705,1827,14.910348213264399
rom,10.900835326850048,12288,11.78135889419232
ron,53.73836727340404,7259,43.5422849898423
Sery,46.53351538725189,6578,26.604173453176077
shaked,24.329660285297997,7812,12.316318875113465
sharon,46.583257692874255,5979,28.649113794136706
shay,60.351643661746216,9663,26.029851364970565
shay_s,38.80589990549952,9244,29.627919770837725
sheila,38.07266646687648,6535,27.505739528130988
tal_a,46.16474156378103,6121,28.963524947598522
tali,64.57754438565557,9508,19.018176486063364
tali_l,31.49799679292927,6325,23.43476471322449
tamir,46.74348603911063,9734,30.993276946120602
valenci,40.98174550299246,8684,31.545348846611375
vitaly,33.22337924656146,7120,30.383733103782326
yarden,15.453815690170067,6119,12.972188845532802
yochi,41.831864605869136,6784,27.397677081432676
yosef,27.643938514404965,10163,8.752090876596585
yosi,60.87449477919764,8677,28.173490243168388
yuval,53.214052402051365,8970,26.61469255052827
zhalaby,41.82228632937498,10891,19.595344290496016
zigi,29.01280279724324,10320,19.654534167223197
zion,28.78076561996716,6471,30.77649760806549
ziv,34.85950038908891,15177,5.454512043086469
