user_name,user_mean,number_of_tests,stddev
admin_200,113.5017472618599,9362,54.73997417480141
ameer,60.92753455865503,6160,43.2962389533031
asaf,65.02625473968156,6811,46.18879351480885
barak_200,90.71949599841831,9201,61.92437786732888
dor_bd,29.035185993548755,8691,26.866314735166004
gadi,105.97950891672554,8071,72.5060649364202
hila_s,55.88199899528436,6384,45.54798116029648
orit,108.87000417728417,9010,61.076322140287246
paz,16.46338318716181,7340,20.77784480624318
segal,67.88517872164611,6867,43.304421343285725
yakov,80.30224423072012,6579,56.305660341539706
