user_name,user_mean,number_of_tests,stddev
anna,25.14255636723051,7089,8.77384603208239
assif,31.005394695594845,9403,9.999543127169627
ben,31.624829143774384,9487,8.416808487508668
ben_b,35.395565553082136,11301,4.964893881191278
dalia,25.433145064884375,5090,13.541698188230605
daniel_t,29.424782887048444,10656,9.344048973369297
dor_b,52.078168500599524,6270,27.654463362108913
eli_d,30.122488961819865,9234,10.33972690749131
escape_room,28.511023407162725,12438,9.548564666285655
getzel,69.05861222813138,5106,19.94473495180294
hamaoz,35.89257885692355,9180,4.237963733468179
hila,24.263212642269362,11177,12.624522618833884
idang,29.979955961491473,11967,7.380364153263573
khalifa,34.17998790712189,8549,5.639206342367825
lian,24.947046495431835,10047,7.316934217918698
miras,23.90161831405416,9758,4.392777702474104
oren,30.844974238889993,9557,9.266875987810034
or_shaked,22.337996239781596,6741,13.12291329473357
roni,25.321245347284858,8793,6.506960806942471
rotem,30.34237471887165,7314,9.516879733449937
sery,32.98848839784917,15406,7.508958833446155
s_golan,34.74657626473206,1554,13.72346125028123
sivan,35.04762610030175,10795,4.4722122538546945
viki,29.386482859518615,7346,10.470172511037932
wiezel,20.555080941665004,11691,11.019128363019204
yoel,17.517849437517054,6109,13.466192312707767
